cell_name,cycle_no,step_no,step_name,c_rate,auc_ahv
RD_RateCapability_0007,1,2,CC_DChg,-0.3332994333333333,99.93084597050003
RD_RateCapability_0007,1,6,CC_DChg,-0.09996616,109.03766818700004
RD_RateCapability_0007,1,10,CC_DChg,-0.19996674,105.4226425445
RD_RateCapability_0007,1,14,CC_DChg,-0.2999667466666667,102.52502783149997
RD_RateCapability_0007,1,18,CC_DChg,-0.3999669799999999,100.85743274300002
RD_RateCapability_0007,1,22,CC_DChg,0.0,99.6281440345
RD_RateCapability_0007,2,4,CCCV_Chg,0.10000252,46.199805612500015
RD_RateCapability_0007,2,8,CCCV_Chg,0.1999957133333333,43.433352584499985
RD_RateCapability_0007,2,12,CCCV_Chg,0.2999982,41.450518665000025
RD_RateCapability_0007,2,16,CCCV_Chg,0.3999968866666666,38.97284850850002
RD_RateCapability_0007,2,20,CCCV_Chg,0.5000195533333334,37.454052186500014
RD_RateCapability_0007,2,6,CC_DChg,-0.0999666933333333,109.49591234650002
RD_RateCapability_0007,2,10,CC_DChg,-0.1999670866666666,106.22218532450003
RD_RateCapability_0007,2,14,CC_DChg,-0.29996702,103.677691941
RD_RateCapability_0007,2,18,CC_DChg,-0.3999669466666666,100.93215334549997
RD_RateCapability_0007,2,22,CC_DChg,-0.4999666,99.45312004149999
RD_RateCapability_0007,3,4,CCCV_Chg,0.1000047666666666,46.57126956
RD_RateCapability_0007,3,8,CCCV_Chg,0.2000161266666666,43.103839589500005
RD_RateCapability_0007,3,12,CCCV_Chg,0.2999969466666666,40.62545216700002
RD_RateCapability_0007,3,16,CCCV_Chg,0.4000048333333333,39.131857600999986
RD_RateCapability_0007,3,20,CCCV_Chg,0.4999966133333333,37.22103967149999
RD_RateCapability_0007,3,6,CC_DChg,0.0,109.61454743500005
RD_RateCapability_0007,3,10,CC_DChg,-0.19996662,105.31839414050003
RD_RateCapability_0007,3,14,CC_DChg,-0.2999666533333333,103.02526108699996
RD_RateCapability_0007,3,18,CC_DChg,-0.3999669466666666,100.60886574300002
RD_RateCapability_0007,3,22,CC_DChg,0.0,99.67678604
RD_RateCapability_0011,1,4,CCCV_Chg,0.09999842,48.09562806400001
RD_RateCapability_0011,1,8,CCCV_Chg,0.1999957466666666,45.810217019
RD_RateCapability_0011,1,12,CCCV_Chg,0.29999846,43.49098893300001
RD_RateCapability_0011,1,16,CCCV_Chg,0.3999961266666667,41.55877372349999
RD_RateCapability_0011,1,20,CCCV_Chg,0.4999958,40.106576353499975
RD_RateCapability_0011,1,2,CC_DChg,-0.33330022,105.30171909049999
RD_RateCapability_0011,1,6,CC_DChg,-0.0999667933333333,113.487987603
RD_RateCapability_0011,1,10,CC_DChg,-0.1999667333333333,110.1546785415
RD_RateCapability_0011,1,14,CC_DChg,-0.2999671266666667,107.43277358599997
RD_RateCapability_0011,1,18,CC_DChg,-0.39996726,105.66775772250001
RD_RateCapability_0011,1,22,CC_DChg,-0.4999667533333333,104.02791418099997
RD_RateCapability_0011,2,4,CCCV_Chg,0.1000031933333333,48.22820960650001
RD_RateCapability_0011,2,8,CCCV_Chg,0.19999848,46.27617426550003
RD_RateCapability_0011,2,12,CCCV_Chg,0.2999954666666666,44.192308225000005
RD_RateCapability_0011,2,16,CCCV_Chg,0.3999955799999999,41.759356957499996
RD_RateCapability_0011,2,20,CCCV_Chg,0.4999993266666667,40.15031596750002
RD_RateCapability_0011,2,6,CC_DChg,-0.0999671533333333,113.835762086
RD_RateCapability_0011,2,10,CC_DChg,-0.1999670266666666,110.90172511799999
RD_RateCapability_0011,2,14,CC_DChg,-0.29996692,107.79097182750002
RD_RateCapability_0011,2,18,CC_DChg,-0.39996726,105.79757720800002
RD_RateCapability_0011,2,22,CC_DChg,-0.4999664,104.45385476200002
RD_RateCapability_0011,3,4,CCCV_Chg,0.1000008666666666,48.64474117699998
RD_RateCapability_0011,3,8,CCCV_Chg,0.19999588,45.93868933250001
RD_RateCapability_0011,3,12,CCCV_Chg,0.2999963066666666,43.81714278050003
RD_RateCapability_0011,3,16,CCCV_Chg,0.3999953,41.6564633585
RD_RateCapability_0011,3,20,CCCV_Chg,0.4999955133333333,40.37433363149999
RD_RateCapability_0011,3,6,CC_DChg,0.0,113.79010697000002
RD_RateCapability_0011,3,10,CC_DChg,-0.1999662,110.11526065299999
RD_RateCapability_0011,3,14,CC_DChg,-0.2999661066666667,107.8936254975
RD_RateCapability_0011,3,18,CC_DChg,0.0,106.05528936549997
RD_RateCapability_0011,3,22,CC_DChg,-0.4999665133333333,104.5548884365
RD_RateCapability_0012,1,4,CCCV_Chg,0.09999798,47.234421907999995
RD_RateCapability_0012,1,8,CCCV_Chg,0.2000007,44.94939250350002
RD_RateCapability_0012,1,12,CCCV_Chg,0.3000093466666667,42.88460828300002
RD_RateCapability_0012,1,16,CCCV_Chg,0.4000188066666666,40.88580602049996
RD_RateCapability_0012,1,20,CCCV_Chg,0.4999988333333333,39.55822453899998
RD_RateCapability_0012,1,2,CC_DChg,-0.33329986,102.12241645949999
RD_RateCapability_0012,1,6,CC_DChg,-0.0999673133333333,109.87843545900002
RD_RateCapability_0012,1,10,CC_DChg,-0.19996644,106.83814006850001
RD_RateCapability_0012,1,14,CC_DChg,-0.2999668,104.16378447750004
RD_RateCapability_0012,1,18,CC_DChg,-0.3999667133333333,102.45532896649999
RD_RateCapability_0012,1,22,CC_DChg,0.0,101.19337045599998
RD_RateCapability_0012,2,4,CCCV_Chg,0.0999974666666666,47.334360094000004
RD_RateCapability_0012,2,8,CCCV_Chg,0.1999984466666666,45.181283951500006
RD_RateCapability_0012,2,12,CCCV_Chg,0.30001054,43.3661904045
RD_RateCapability_0012,2,16,CCCV_Chg,0.39999556,41.07760269849997
RD_RateCapability_0012,2,20,CCCV_Chg,0.5000223866666667,39.50088525200002
RD_RateCapability_0012,2,6,CC_DChg,-0.0999667066666666,110.26647504749998
RD_RateCapability_0012,2,10,CC_DChg,-0.1999665266666666,107.37619779200001
RD_RateCapability_0012,2,14,CC_DChg,-0.2999664733333333,104.9690816855
RD_RateCapability_0012,2,18,CC_DChg,-0.3999667266666666,102.44119097499998
RD_RateCapability_0012,2,22,CC_DChg,-0.4999668399999999,100.88523484299996
RD_RateCapability_0012,3,4,CCCV_Chg,0.1000026866666666,47.5841352525
RD_RateCapability_0012,3,8,CCCV_Chg,0.2000042,44.95465775499997
RD_RateCapability_0012,3,12,CCCV_Chg,0.300012,42.7933450055
RD_RateCapability_0012,3,16,CCCV_Chg,0.3999963333333333,41.132583217000025
RD_RateCapability_0012,3,20,CCCV_Chg,0.4999964066666666,39.432487649000024
RD_RateCapability_0012,3,6,CC_DChg,0.0,110.34731880400004
RD_RateCapability_0012,3,10,CC_DChg,-0.1999672,106.78714865649998
RD_RateCapability_0012,3,14,CC_DChg,-0.2999673266666667,104.51284491750003
RD_RateCapability_0012,3,18,CC_DChg,-0.3999664133333333,102.29538262349999
RD_RateCapability_0012,3,22,CC_DChg,0.0,101.18630589649997
RD_RateCapability_0025,1,4,CCCV_Chg,0.1000012933333333,47.61055081949999
